text_id,code_id,code_name,text,original_code,replicated_code,model_code,reason,new_model_code
1,1,HSTG,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,No,No,No,"There are no hashtags used in this tweet, only a hyperlink. The codebook specifically states to exclude hyperlinks from the decision of whether hashtags are used. Therefore, the most applicable code is ""No.""",No
1,2,ATSN,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,No,No,No,"There are no at signs (@) present in this tweet, only a hyperlink. Therefore, the code for at signs is not applicable.",No
1,3,CRIT,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,No,No,No,"The tweet does not criticize another person or idea, it simply praises someone. Therefore, the code 'No' is the most applicable.",No
1,4,MEDI,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,No,No,No,"This tweet does not contain any derogatory or condescending statements about the news media or individual journalists. It is simply a positive comment about someone with good ratings. Therefore, the code is ""No"".",No
1,5,FAMY,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,No,No,No,The tweet does not reference any members of Donald Trump's immediate family.,No
1,6,PLCE,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,No,No,No,The tweet does not reference the police or individual police officers. It is a compliment to someone with great ratings.,No
1,7,MAGA,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,No,No,No,"The tweet does not reference Donald Trump's 2016 campaign slogan ""Make America Great Again"" or any variation of it. It simply describes someone as a ""great guy"" with ""great ratings"". Therefore, the code for this tweet is ""No"".",Yes
1,8,CAPT,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,No,No,No,"The tweet does not contain any words in all capital letters, and the use of parentheses and an exclamation point do not qualify as emphasis through capitalization. Additionally, the link and hashtag are excluded from this decision.",Yes
1,9,INDV,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,Yes,Yes,Yes,"The tweet references an individual person, even though they are not named. The use of ""guy"" implies a single person, and the use of ""great"" suggests a positive opinion of this person. Therefore, this tweet should be coded as a ""Yes"" for referencing an individual person.",Yes
1,10,MARG,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,No,No,No,"The tweet does not reference any marginalized group or individual, so it does not meet the criteria for a ""Yes"" code.",No
1,11,INTN,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,No,No,No,"The tweet does not reference any international topics outside of the USA, other countries, international leaders, trade, or NATO. It is simply a compliment towards someone with good ratings.",No
1,12,PRTY,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,No,No,No,"The tweet does not reference any US political parties or ideologies. It is simply a compliment towards someone with good ratings. Therefore, the code for this tweet is ""No"".",No
1,13,IMMG,A great guy (with great ratings)! https://t.co/S0S6xqrjSC,No,No,No,This tweet does not reference immigration in the US in any way. It is simply a compliment to someone with good ratings.,No
2,1,HSTG,Join me live for the commissioning ceremony of the USS Gerald R. Ford!??https://t.co/F78iOR64TW #USA https://t.co/PrVceEmPOB,No,Yes,Yes,"The tweet includes a hashtag (#USA) which is not a hyperlink, indicating the use of hashtags. Therefore, the code ""Yes"" is applicable.",Yes
2,2,ATSN,Join me live for the commissioning ceremony of the USS Gerald R. Ford!??https://t.co/F78iOR64TW #USA https://t.co/PrVceEmPOB,No,No,No,"The tweet does not contain any at signs (@) or ampersands that are present in retweets. It only includes a hyperlink and a hashtag. Therefore, the code ""No"" is most applicable.",No
2,3,CRIT,Join me live for the commissioning ceremony of the USS Gerald R. Ford!??https://t.co/F78iOR64TW #USA https://t.co/PrVceEmPOB,No,No,No,"The tweet does not criticize another person or idea, it is simply an invitation to join a live event. Therefore, the most applicable code is 'No'.",No
2,4,MEDI,Join me live for the commissioning ceremony of the USS Gerald R. Ford!??https://t.co/F78iOR64TW #USA https://t.co/PrVceEmPOB,No,No,No,"The tweet does not contain any statements about the news media, derogatory or otherwise. It is simply an invitation to join a live event. Therefore, the code is ""No"".",No
2,5,FAMY,Join me live for the commissioning ceremony of the USS Gerald R. Ford!??https://t.co/F78iOR64TW #USA https://t.co/PrVceEmPOB,No,No,No,"The tweet does not reference any members of Donald Trump's immediate family, so the code ""No"" is most applicable.",No
